边 : 字 0.0515842404875 | 亲 0.055637030726 | 景 0.0575127583749 | 藏 0.0644112399972 | 边 0.0670720854676 | 判 0.0725851002573 | 苏 0.0743319970543 | 类 0.083212326147 | 树 0.0836415024504 | 绍 0.0860969135025 | 责 0.0913204381213 | 房 0.0929445356894 | 止 0.0965946518374 | 号 0.0966205213141 | 河 0.0972956113869 | 客 0.100862778948 | 写 0.10341207245 | 富 0.104807801633 | 菜 0.1126050172 | 约 0.11773830607 | 油 0.119073481935 | 售 0.122507067308 | 谈 0.123112576746 | 星 0.123387996256 | 索 0.124932057801 | 票 0.130813333366 | 则 0.133311601222 | 密 0.136725437529 | 试 0.141150033163 | 图 0.142049105932 | 血 0.144696162959 | 洋 0.145617971408 | 幕 0.14614137784 | 湾 0.148654214363 | 师 0.149547177237 | 语 0.150047057961 | 型 0.152005289201 | 障 0.152070008605 | 税 0.156380433255 | 城 0.156533978373 | 土 0.156636304059 | 疗 0.158873260606 | 留 0.163524342151 | 功 0.165767977113 | 彩 0.167497898439 | 迹 0.169977057864 | 身 0.176833111934 | 卖 0.178050357426 | 空 0.178501559541 | 获 0.180164097807 | 

念 : 字 0.131902162104 | 售 0.132299604475 | 油 0.148238365391 | 兵 0.15242257517 | 景 0.153640196107 | 房 0.154697019782 | 判 0.158924746701 | 师 0.176707509621 | 疗 0.186094512004 | 富 0.188450994145 | 客 0.197694967194 | 值 0.199784876277 | 察 0.20078303235 | 菜 0.202804331264 | 票 0.205207859784 | 星 0.206599747464 | 责 0.208173044893 | 洋 0.208516364431 | 彩 0.221378719383 | 略 0.227005759026 | 索 0.229801251691 | 势 0.234781927951 | 卖 0.245324356982 | 染 0.248035259535 | 语 0.24843729894 | 警 0.26486260978 | 划 0.2691397697 | 围 0.275684709624 | 岛 0.283591060811 | 测 0.287115791647 | 绍 0.29742358781 | 血 0.311620079857 | 险 0.317979962467 | 击 0.323683390611 | 德 0.325828241366 | 空 0.325908279739 | 湾 0.326015376306 | 灾 0.33582636298 | 藏 0.337167809388 | 型 0.338708506724 | 守 0.360623497423 | 写 0.36124475079 | 图 0.364730317445 | 购 0.366440044533 | 士 0.376439336622 | 斗 0.377080202048 | 器 0.378024322932 | 迹 0.382535269016 | 念 0.405290983109 | 雪 0.407560747803 | 

鳃 : 骛 0.0387749530533 | 酪 0.0388036212284 | 嗤 0.0388038864223 | 噎 0.0388912421367 | 夼 0.0388962729537 | 咭 0.0389433007235 | 腋 0.039025917615 | 滓 0.0390494629247 | 芡 0.0391148792746 | 嗨 0.0391917701696 | 馗 0.0392331848787 | 羟 0.0392570196247 | 蕨 0.0392805777387 | 钕 0.0392937816404 | 菽 0.0393102409203 | 滢 0.0393271868341 | 猬 0.039362346488 | 阄 0.0393878805523 | 椴 0.039389687548 | 酰 0.0394011990324 | 渑 0.0394076721009 | 鳅 0.0394447089512 | 琰 0.0394453881901 | 晌 0.0394712812691 | 磙 0.0394731022569 | 吡 0.0395394548849 | 茭 0.0395468512399 | 阉 0.0395469669649 | 蜷 0.0395554181407 | 溆 0.03960678748 | 肽 0.0396120266032 | 琊 0.0396239798599 | 簪 0.0396303291629 | 灏 0.0396358066936 | 鹦 0.0396615983791 | 匍 0.0397303115315 | 砷 0.0397489342198 | 孑 0.0397570860981 | 荚 0.0398152099858 | 沏 0.0398483501491 | 碓 0.0398681350817 | 蛐 0.0398736609948 | 榛 0.0398908531439 | 锃 0.0399092146527 | 蜃 0.0399100651473 | 镳 0.039917345019 | 郫 0.0399445681028 | 璎 0.0399925679427 | 萸 0.0400025391523 | 魇 0.0400137390959 | 

千 : 试 0.129416361201 | 写 0.130911445285 | 约 0.154151896211 | 获 0.162944118223 | 兴 0.166287773598 | 演 0.169729556712 | 税 0.17629220463 | 留 0.181855480252 | 客 0.197293498204 | 购 0.198198557417 | 送 0.205966076448 | 谈 0.213915490104 | 足 0.220679543143 | 找 0.223628914757 | 类 0.224615639036 | 带 0.228606777679 | 图 0.229363521614 | 举 0.229414819396 | 八 0.230297705583 | 功 0.2361206556 | 曾 0.237772837224 | 升 0.238079714439 | 福 0.239642558208 | 救 0.241912148821 | 密 0.244365834204 | 卫 0.245263184855 | 价 0.245397184388 | 落 0.250124071782 | 采 0.254505858788 | 语 0.255215206725 | 责 0.255236242674 | 城 0.256471599153 | 型 0.258147785127 | 转 0.262134912382 | 控 0.267568801553 | 独 0.268663545718 | 房 0.268861280901 | 空 0.26902793959 | 销 0.285675567232 | 洋 0.288396420215 | 灾 0.290038613731 | 铁 0.290074337403 | 值 0.292317066655 | 课 0.292518062158 | 厂 0.296087432984 | 征 0.305176300644 | 均 0.305504130101 | 土 0.313301930362 | 判 0.314547624207 | 票 0.317854088809 | 

撇 : 夼 0.056168765424 | 滓 0.0561967609887 | 酪 0.0562604822383 | 嗤 0.0563131825624 | 骛 0.0563491757052 | 滢 0.0563990625162 | 馗 0.0564085247354 | 钕 0.056452267555 | 噎 0.0564828234921 | 咭 0.0565195826553 | 芡 0.0565359791632 | 蕨 0.0565525561293 | 鳅 0.0565681424322 | 嗨 0.0565702547078 | 琰 0.0565835986882 | 酰 0.0566286772632 | 阉 0.0566610475543 | 羟 0.0566702805844 | 镳 0.0566723677318 | 溆 0.0566924965653 | 椴 0.0567496405833 | 灏 0.0567574619257 | 腋 0.0567607902931 | 匍 0.0567688663469 | 菽 0.0567848553344 | 阄 0.0567932332999 | 晌 0.0567956638829 | 溴 0.0568332099692 | 蜷 0.0568677024846 | 肽 0.0568977871167 | 孑 0.0569384776982 | 吡 0.0569487125187 | 簪 0.0569520289751 | 璎 0.0569651380741 | 琊 0.0569665552163 | 锃 0.0569691737249 | 沏 0.0569955662415 | 蛐 0.0570121203309 | 郫 0.0570133865296 | 鹦 0.057015210119 | 猬 0.0570226643679 | 芊 0.0570309624832 | 渑 0.057046552156 | 砷 0.0571133163701 | 怂 0.0571266626905 | 绂 0.0571356329996 | 榛 0.0571372273247 | 旌 0.057149457061 | 茭 0.0571521591897 | 魇 0.057213616266 | 

亲 : 客 0.06250011695 | 房 0.0889573143341 | 图 0.0914846800101 | 写 0.103278741745 | 语 0.11204988792 | 卖 0.112858613278 | 土 0.115121425784 | 类 0.117353386167 | 空 0.130253975527 | 洋 0.130301038598 | 密 0.132821894033 | 试 0.133127010389 | 购 0.134536363996 | 约 0.135995930998 | 演 0.13991664495 | 福 0.141214711299 | 票 0.14877374783 | 铁 0.153572849304 | 卫 0.154551975353 | 销 0.160285257762 | 征 0.164443263095 | 留 0.167494804374 | 歌 0.169951350449 | 血 0.178937364586 | 脱 0.180210575059 | 索 0.182293453758 | 围 0.182307531502 | 税 0.182967901233 | 货 0.183815050018 | 号 0.184334247548 | 富 0.18847014709 | 兴 0.188603483472 | 死 0.18930469404 | 获 0.197891776216 | 送 0.200672708683 | 找 0.202891379399 | 伟 0.205552445943 | 警 0.206915409444 | 彩 0.215764741947 | 责 0.215992434476 | 判 0.218687799857 | 谈 0.218959195703 | 裁 0.219551054183 | 连 0.223824960875 | 宝 0.224589380291 | 舞 0.226024840532 | 亲 0.230661174066 | 型 0.233479915844 | 足 0.23506537583 | 师 0.236217751074 | 

均 : 试 0.0593619476687 | 福 0.0613374933672 | 伟 0.0632985931983 | 卫 0.0648668413245 | 脱 0.0690641430694 | 禁 0.0707661114009 | 密 0.0744196313274 | 征 0.0754115907541 | 裁 0.0759896065752 | 找 0.07607754389 | 宝 0.0815456957771 | 购 0.0829657334248 | 留 0.0833860462377 | 独 0.0903269346062 | 短 0.0903325128053 | 曾 0.0906497184326 | 某 0.0921776391249 | 约 0.0929557798128 | 笔 0.0938535918914 | 季 0.0960665748277 | 获 0.0965097527102 | 半 0.0971308743769 | 演 0.0978620027542 | 瑞 0.0980555591782 | 死 0.098454188084 | 升 0.10341572019 | 债 0.10350600337 | 庄 0.105205643549 | 灵 0.106337044195 | 卖 0.108603978431 | 足 0.112047486588 | 付 0.112734981652 | 铁 0.112946843442 | 借 0.115294533104 | 语 0.116351179924 | 涉 0.1163732827 | 写 0.118807065957 | 救 0.119142418336 | 拥 0.11930990549 | 桥 0.12132426667 | 硬 0.121843785457 | 勤 0.121940704837 | 叫 0.124128320081 | 补 0.12461290349 | 税 0.125309360087 | 杰 0.125872486491 | 课 0.127983322591 | 累 0.128271638627 | 伤 0.129693154617 | 振 0.13114921319 | 

