word : base_line_score | beam_search_score
漂 : 0.0245534049739 | 0.02 | 0.00455340497394
土 : 0.02 | 0.02 | 0.0
麒 : 0.02 | 0.02 | 0.0
麓 : 0.02 | 0.02 | 0.0
圄 : 0.02 | 0.02 | 0.0
圻 : 0.02 | 0.02 | 0.0
崎 : 0.0243620858397 | 0.0247962493314 | -0.000434163491652
死 : 0.0260205999133 | 0.0266666666667 | -0.000646066753387
麦 : 0.02 | 0.02 | 0.0
圪 : 0.02 | 0.02 | 0.0
莒 : 0.0271241437422 | 0.02 | 0.00712414374216
歪 : 0.0237580364942 | 0.0243067655807 | -0.000548729086552
麸 : 0.0244212945892 | 0.0247081782673 | -0.000286883678183
圣 : 0.02 | 0.0235436764027 | -0.00354367640271
此 : 0.0251191604962 | 0.03 | -0.0048808395038
步 : 0.02 | 0.02 | 0.0
止 : 0.0237580364942 | 0.0263092975357 | -0.00255126104153
麾 : 0.02 | 0.02 | 0.0
劭 : 0.02 | 0.02 | 0.0
聪 : 0.0243067655807 | 0.02 | 0.00430676558073
了 : 0.02 | 0.02 | 0.0
予 : 0.02 | 0.02 | 0.0
事 : 0.02 | 0.02 | 0.0
务 : 0.0237580364942 | 0.0239312326447 | -0.000173196150474
于 : 0.02 | 0.02 | 0.0
云 : 0.02 | 0.02 | 0.0
劾 : 0.02 | 0.02 | 0.0
势 : 0.0251191604962 | 0.02 | 0.0051191604962
五 : 0.02 | 0.0326185950714 | -0.0126185950714
亘 : 0.02 | 0.02 | 0.0
亚 : 0.02 | 0.02 | 0.0
亢 : 0.02 | 0.02 | 0.0
聂 : 0.0240759009418 | 0.0241602919535 | -8.43910117201e-05
亭 : 0.02 | 0.0257812965264 | -0.00578129652636
歌 : 0.0240759009418 | 0.02 | 0.00407590094181
亮 : 0.0247081782673 | 0.0326185950714 | -0.0079104168041
聘 : 0.03 | 0.0326185950714 | -0.00261859507143
劝 : 0.02 | 0.02 | 0.0
亲 : 0.0236006265331 | 0.0236006265331 | 0.0
亵 : 0.02 | 0.02 | 0.0
踊 : 0.02 | 0.02 | 0.0
踉 : 0.02 | 0.0237840071903 | -0.00378400719034
浒 : 0.02 | 0.02 | 0.0
踣 : 0.02 | 0.02 | 0.0
蕴 : 0.0271241437422 | 0.02 | 0.00712414374216
踪 : 0.02 | 0.02 | 0.0
踮 : 0.02 | 0.02 | 0.0
踹 : 0.02 | 0.0246275642632 | -0.0046275642632
糖 : 0.0286135311615 | 0.02 | 0.00861353116147
柏 : 0.02 | 0.02 | 0.0
糟 : 0.0242061983571 | 0.04 | -0.0157938016429
柔 : 0.0266666666667 | 0.0266666666667 | 0.0
糅 : 0.02 | 0.02 | 0.0
柑 : 0.02 | 0.02 | 0.0
染 : 0.0248930108424 | 0.0251191604962 | -0.000226149653832
藁 : 0.02 | 0.02 | 0.0
糌 : 0.02 | 0.02 | 0.0
里 : 0.02 | 0.0247962493314 | -0.00479624933136
柬 : 0.02 | 0.02 | 0.0
柯 : 0.02 | 0.02 | 0.0
觉 : 0.02 | 0.02 | 0.0
柴 : 0.02 | 0.02 | 0.0
糠 : 0.02 | 0.02 | 0.0
柳 : 0.0242549210711 | 0.02 | 0.00425492107107
糯 : 0.02 | 0.02 | 0.0
焖 : 0.02 | 0.02 | 0.0
焙 : 0.02 | 0.02 | 0.0
妓 : 0.02 | 0.02 | 0.0
妖 : 0.02 | 0.02 | 0.0
襄 : 0.02 | 0.02 | 0.0
妁 : 0.02 | 0.02 | 0.0
焰 : 0.02 | 0.02 | 0.0
然 : 0.02 | 0.02 | 0.0
浊 : 0.0266666666667 | 0.03 | -0.00333333333333
西 : 0.02 | 0.02 | 0.0
妩 : 0.02 | 0.02 | 0.0
焦 : 0.04 | 0.04 | 0.0
妥 : 0.02 | 0.02 | 0.0
路 : 0.0239312326447 | 0.0243620858397 | -0.000430853195054
跬 : 0.02 | 0.02 | 0.0
跤 : 0.0240369817316 | 0.0242549210711 | -0.000217939339425
疡 : 0.02 | 0.02 | 0.0
疤 : 0.02 | 0.02 | 0.0
疸 : 0.02 | 0.02 | 0.0
疹 : 0.0263092975357 | 0.04 | -0.0136907024643
疾 : 0.0238991804379 | 0.02 | 0.00389918043788
跻 : 0.0240759009418 | 0.0244212945892 | -0.00034539364734
歧 : 0.02 | 0.02 | 0.0
疲 : 0.02 | 0.02 | 0.0
践 : 0.02 | 0.02 | 0.0
跆 : 0.02 | 0.02 | 0.0
疃 : 0.02 | 0.0237089804683 | -0.00370898046831
疆 : 0.0240759009418 | 0.0263092975357 | -0.0022333965939
跃 : 0.02 | 0.02 | 0.0
门 : 0.0237330482248 | 0.0251191604962 | -0.00138611227142
跟 : 0.0248930108424 | 0.02 | 0.00489301084236
跚 : 0.02 | 0.02 | 0.0
闲 : 0.0271241437422 | 0.02 | 0.00712414374216
闾 : 0.02 | 0.02 | 0.0
疑 : 0.0239312326447 | 0.02 | 0.00393123264466
疗 : 0.03 | 0.04 | -0.01
聩 : 0.02 | 0.02 | 0.0
状 : 0.0236006265331 | 0.0238391744001 | -0.000238547866997
廓 : 0.02 | 0.0237089804683 | -0.00370898046831
浸 : 0.02 | 0.02 | 0.0
犟 : 0.02 | 0.02 | 0.0
帅 : 0.02 | 0.02 | 0.0
市 : 0.02 | 0.02 | 0.0
蓄 : 0.02 | 0.02 | 0.0
求 : 0.0286135311615 | 0.0286135311615 | 0.0
汀 : 0.02 | 0.02 | 0.0
师 : 0.0248930108424 | 0.0254047630885 | -0.000511752246182
二 : 0.02 | 0.02 | 0.0
蓓 : 0.02 | 0.02 | 0.0
避 : 0.0243067655807 | 0.0244848764844 | -0.000178110903618
遵 : 0.0251191604962 | 0.02 | 0.0051191604962
帜 : 0.02 | 0.02 | 0.0
汗 : 0.0235620718711 | 0.024 | -0.00043792812892
帘 : 0.02 | 0.04 | -0.02
带 : 0.0271241437422 | 0.02 | 0.00712414374216
帧 : 0.02 | 0.02 | 0.0
汩 : 0.02 | 0.02 | 0.0
蓦 : 0.02 | 0.02 | 0.0
池 : 0.0245534049739 | 0.0251191604962 | -0.000565755522257
污 : 0.0266666666667 | 0.0286135311615 | -0.0019468644948
蓬 : 0.04 | 0.04 | 0.0
遂 : 0.02 | 0.02 | 0.0
帷 : 0.0237089804683 | 0.0240369817316 | -0.000328001263335
遛 : 0.02 | 0.02 | 0.0
汽 : 0.0242549210711 | 0.02 | 0.00425492107107
遗 : 0.02 | 0.0239312326447 | -0.00393123264466
版 : 0.02 | 0.02 | 0.0
蓿 : 0.02 | 0.02 | 0.0
汴 : 0.02 | 0.02 | 0.0
遒 : 0.03 | 0.02 | 0.01
粗 : 0.0326185950714 | 0.02 | 0.0126185950714
朋 : 0.02 | 0.02 | 0.0
粕 : 0.02 | 0.02 | 0.0
服 : 0.0247962493314 | 0.0247962493314 | 0.0
望 : 0.025 | 0.0257812965264 | -0.000781296526358
朐 : 0.02 | 0.02 | 0.0
朔 : 0.03 | 0.04 | -0.01
末 : 0.02 | 0.0244212945892 | -0.00442129458915
粱 : 0.0286135311615 | 0.0286135311615 | 0.0
精 : 0.02 | 0.02 | 0.0
粪 : 0.02 | 0.02 | 0.0
朴 : 0.025 | 0.02 | 0.005
鹅 : 0.02 | 0.02 | 0.0
回 : 0.0277370561447 | 0.02 | 0.00773705614469
鹏 : 0.02 | 0.02 | 0.0
撮 : 0.02 | 0.02 | 0.0
撬 : 0.02 | 0.02 | 0.0
撷 : 0.02 | 0.02 | 0.0
撵 : 0.02 | 0.02 | 0.0
鹜 : 0.02 | 0.02 | 0.0
撼 : 0.0235436764027 | 0.0236208519356 | -7.71755328896e-05
囿 : 0.02 | 0.02 | 0.0
图 : 0.0251191604962 | 0.02 | 0.0051191604962
鹦 : 0.02 | 0.02 | 0.0
撇 : 0.02 | 0.02 | 0.0
鹭 : 0.02 | 0.02 | 0.0
围 : 0.02 | 0.02 | 0.0
鹳 : 0.0236417580094 | 0.02 | 0.0036417580094
掷 : 0.02 | 0.0237089804683 | -0.00370898046831
砾 : 0.02 | 0.02 | 0.0
砸 : 0.02 | 0.0235620718711 | -0.00356207187108
掰 : 0.02 | 0.02 | 0.0
砷 : 0.0254047630885 | 0.03 | -0.00459523691145
掺 : 0.02 | 0.02 | 0.0
控 : 0.0271241437422 | 0.0286135311615 | -0.00148938741931
砭 : 0.02 | 0.02 | 0.0
掮 : 0.02 | 0.02 | 0.0
砧 : 0.02 | 0.02 | 0.0
掖 : 0.0241602919535 | 0.0243620858397 | -0.00020179388618
饽 : 0.02 | 0.02 | 0.0
饿 : 0.0242061983571 | 0.02 | 0.00420619835714
饱 : 0.02 | 0.0266666666667 | -0.00666666666667
饰 : 0.0248930108424 | 0.02 | 0.00489301084236
饲 : 0.04 | 0.0254047630885 | 0.0145952369115
砍 : 0.02 | 0.02 | 0.0
功 : 0.0243620858397 | 0.0263092975357 | -0.001947211696
掂 : 0.0263092975357 | 0.0326185950714 | -0.00630929753571
饥 : 0.0326185950714 | 0.02 | 0.0126185950714
码 : 0.0286135311615 | 0.02 | 0.00861353116147
掉 : 0.0241169366492 | 0.0243067655807 | -0.000189828931525
蹁 : 0.02 | 0.02 | 0.0
蹉 : 0.02 | 0.02 | 0.0
髦 : 0.0241602919535 | 0.02 | 0.00416029195353
高 : 0.02 | 0.02 | 0.0
蹭 : 0.02 | 0.02 | 0.0
佣 : 0.02 | 0.02 | 0.0
蹴 : 0.02 | 0.02 | 0.0
蹼 : 0.02 | 0.02 | 0.0
髌 : 0.02 | 0.02 | 0.0
涉 : 0.0254047630885 | 0.02 | 0.00540476308855
消 : 0.0257812965264 | 0.0326185950714 | -0.00683729854507
涅 : 0.02 | 0.02 | 0.0
逢 : 0.02 | 0.02 | 0.0
逡 : 0.02 | 0.02 | 0.0
逗 : 0.0237330482248 | 0.0248930108424 | -0.00115996261759
涨 : 0.02 | 0.0243620858397 | -0.00436208583971
通 : 0.0326185950714 | 0.02 | 0.0126185950714
润 : 0.0277370561447 | 0.0277370561447 | 0.0
蔫 : 0.02 | 0.02 | 0.0
左 : 0.02 | 0.02 | 0.0
涡 : 0.02 | 0.02 | 0.0
涿 : 0.02 | 0.02 | 0.0
送 : 0.0238110282485 | 0.0245534049739 | -0.000742376725404
逆 : 0.0247081782673 | 0.02 | 0.00470817826733
巾 : 0.0236208519356 | 0.02 | 0.0036208519356
逅 : 0.02 | 0.02 | 0.0
逊 : 0.02 | 0.02 | 0.0
已 : 0.0245534049739 | 0.02 | 0.00455340497394
利 : 0.0244848764844 | 0.0247962493314 | -0.000311372847011
÷ : 0.02 | 0.02 | 0.0
逍 : 0.02 | 0.02 | 0.0
奚 : 0.02 | 0.02 | 0.0
奔 : 0.02 | 0.02 | 0.0
奋 : 0.02 | 0.0252529907007 | -0.00525299070074
要 : 0.025 | 0.0271241437422 | -0.00212414374216
奇 : 0.02 | 0.02 | 0.0
覆 : 0.0286135311615 | 0.0286135311615 | 0.0
奸 : 0.02 | 0.02 | 0.0
燧 : 0.02 | 0.02 | 0.0
燮 : 0.02 | 0.02 | 0.0
肩 : 0.02 | 0.0257812965264 | -0.00578129652636
肤 : 0.02 | 0.02 | 0.0
今 : 0.02 | 0.02 | 0.0
核 : 0.02 | 0.02 | 0.0
他 : 0.02 | 0.02 | 0.0
仗 : 0.0263092975357 | 0.02 | 0.00630929753571
仔 : 0.0252529907007 | 0.0251191604962 | 0.000133830204548
肾 : 0.02 | 0.02 | 0.0
胜 : 0.02 | 0.02 | 0.0
仑 : 0.02 | 0.02 | 0.0
胝 : 0.02 | 0.02 | 0.0
栩 : 0.02 | 0.02 | 0.0
付 : 0.02 | 0.02 | 0.0
仙 : 0.02 | 0.02 | 0.0
肌 : 0.0239647972634 | 0.0240369817316 | -7.21844682308e-05
栖 : 0.0257812965264 | 0.02 | 0.00578129652636
树 : 0.0286135311615 | 0.03 | -0.00138646883853
剔 : 0.03 | 0.0326185950714 | -0.00261859507143
们 : 0.0326185950714 | 0.0326185950714 | 0.0
肆 : 0.02 | 0.0239312326447 | -0.00393123264466
仪 : 0.02 | 0.02 | 0.0
仨 : 0.02 | 0.02 | 0.0
肝 : 0.02 | 0.02 | 0.0
价 : 0.04 | 0.02 | 0.02
仲 : 0.02 | 0.02 | 0.0
栌 : 0.02 | 0.02 | 0.0
前 : 0.02 | 0.02 | 0.0
任 : 0.0326185950714 | 0.02 | 0.0126185950714
偿 : 0.0252529907007 | 0.0277370561447 | -0.00248406544395
躅 : 0.02 | 0.02 | 0.0
磅 : 0.02 | 0.024 | -0.004
嗽 : 0.02 | 0.02 | 0.0
躏 : 0.023685776663 | 0.02 | 0.00368577666297
骡 : 0.023685776663 | 0.02 | 0.00368577666297
骤 : 0.02 | 0.02 | 0.0
骐 : 0.02 | 0.02 | 0.0
磨 : 0.0266666666667 | 0.02 | 0.00666666666667
躯 : 0.02 | 0.02 | 0.0
骛 : 0.02 | 0.02 | 0.0
骝 : 0.02 | 0.02 | 0.0
身 : 0.02 | 0.02 | 0.0
骁 : 0.02 | 0.02 | 0.0
磷 : 0.02 | 0.02 | 0.0
骋 : 0.02 | 0.02 | 0.0
躺 : 0.02 | 0.02 | 0.0
李 : 0.02 | 0.02 | 0.0
奂 : 0.0239312326447 | 0.02 | 0.00393123264466
杉 : 0.02 | 0.023581044635 | -0.00358104463502
罐 : 0.02 | 0.02 | 0.0
杂 : 0.0241169366492 | 0.02 | 0.00411693664921
罔 : 0.0266666666667 | 0.02 | 0.00666666666667
束 : 0.02 | 0.02 | 0.0
罂 : 0.02 | 0.0237089804683 | -0.00370898046831
村 : 0.0260205999133 | 0.0260205999133 | 0.0
杯 : 0.02 | 0.02 | 0.0
署 : 0.0246275642632 | 0.0254047630885 | -0.000777198825351
杠 : 0.02 | 0.0237840071903 | -0.00378400719034
罩 : 0.02 | 0.0260205999133 | -0.00602059991328
